id,starts,ends,duration,session_id,trial_id,t0,prod_onset_t0,prod_onset,prod_offset,stim_onset,stim_offset,prod_offset_t0,stim_onset_t0,stim_offset_t0
91,46309.1005359706,46322.4762251146,13.3756891439989,2,31,46315.1005359706,0,46315.1005359706,46316.4762251146,NaN,NaN,1.3756891439989,NaN,NaN
92,46314.1195002609,46327.4938494252,13.3743491642963,2,32,46320.1195002609,0,46320.1195002609,46321.4938494252,NaN,NaN,1.37434916429629,NaN,NaN
93,46319.157544258,46332.5209735878,13.3634293298019,2,33,46325.157544258,0,46325.157544258,46326.5209735878,NaN,NaN,1.36342932980187,NaN,NaN
94,46324.3268062852,46337.6091968437,13.2823905585028,2,34,46330.3268062852,0,46330.3268062852,46331.6091968437,NaN,NaN,1.28239055850281,NaN,NaN
95,46329.3026412332,46342.7271196375,13.424478404304,2,35,46335.3026412332,0,46335.3026412332,46336.7271196375,NaN,NaN,1.42447840430395,NaN,NaN
96,46334.5871515171,46348.110338425,13.5231869078998,2,36,46340.5871515171,0,46340.5871515171,46342.110338425,NaN,NaN,1.5231869078998,NaN,NaN
97,46339.7758632494,46353.0980632043,13.3221999548987,2,37,46345.7758632494,0,46345.7758632494,46347.0980632043,NaN,NaN,1.32219995489868,NaN,NaN
98,46344.9566750937,46358.3317842465,13.3751091527956,2,38,46350.9566750937,0,46350.9566750937,46352.3317842465,NaN,NaN,1.37510915279563,NaN,NaN
99,46349.9218202077,46363.3054092319,13.3835890241971,2,39,46355.9218202077,0,46355.9218202077,46357.3054092319,NaN,NaN,1.38358902419714,NaN,NaN
100,46355.2963391347,46368.7565269977,13.4601878629983,2,40,46361.2963391347,0,46361.2963391347,46362.7565269977,NaN,NaN,1.46018786299828,NaN,NaN
101,46360.7759264689,46374.2329443799,13.4570179110015,2,41,46366.7759264689,0,46366.7759264689,46368.2329443799,NaN,NaN,1.45701791100146,NaN,NaN
102,46365.8534198834,46379.1762698284,13.3228499449979,2,42,46371.8534198834,0,46371.8534198834,46373.1762698284,NaN,NaN,1.32284994499787,NaN,NaN
103,46370.9525729735,46384.4239906662,13.4714176926936,2,43,46376.9525729735,0,46376.9525729735,46378.4239906662,NaN,NaN,1.47141769269365,NaN,NaN
104,46376.0915154448,46389.6595116733,13.5679962284994,2,44,46382.0915154448,0,46382.0915154448,46383.6595116733,NaN,NaN,1.5679962284994,NaN,NaN
105,46381.238067824,46394.7197353613,13.4816675373004,2,45,46387.238067824,0,46387.238067824,46388.7197353613,NaN,NaN,1.48166753730038,NaN,NaN
106,46386.3307309931,46399.7271598227,13.3964288296047,2,46,46392.3307309931,0,46392.3307309931,46393.7271598227,NaN,NaN,1.3964288296047,NaN,NaN
107,46391.4481638061,46404.9201814897,13.4720176836054,2,47,46397.4481638061,0,46397.4481638061,46398.9201814897,NaN,NaN,1.47201768360537,NaN,NaN
108,46396.6929246925,46410.1454026724,13.4524779799031,2,48,46402.6929246925,0,46402.6929246925,46404.1454026724,NaN,NaN,1.45247797990305,NaN,NaN
109,46402.4623576635,46415.8465166791,13.3841590156007,2,49,46408.4623576635,0,46408.4623576635,46409.8465166791,NaN,NaN,1.38415901560074,NaN,NaN
110,46407.6601592619,46421.0725378496,13.4123785877018,2,50,46413.6601592619,0,46413.6601592619,46415.0725378496,NaN,NaN,1.41237858770182,NaN,NaN
111,46412.9815089872,46426.3285585654,13.3470495782021,2,51,46418.9815089872,0,46418.9815089872,46420.3285585654,NaN,NaN,1.34704957820213,NaN,NaN
112,46418.041212656,46431.3989820716,13.3577694156047,2,52,46424.041212656,0,46424.041212656,46425.3989820716,NaN,NaN,1.35776941560471,NaN,NaN
113,46423.3658123398,46436.7719010229,13.4060886830994,2,53,46429.3658123398,0,46429.3658123398,46430.7719010229,NaN,NaN,1.40608868309937,NaN,NaN
114,46428.8148701329,46442.2510183603,13.4361482274035,2,54,46434.8148701329,0,46434.8148701329,46436.2510183603,NaN,NaN,1.43614822740346,NaN,NaN
115,46434.0971804501,46447.4971392262,13.3999587760991,2,55,46440.0971804501,0,46440.0971804501,46441.4971392262,NaN,NaN,1.39995877609908,NaN,NaN
116,46439.2717024053,46452.7332602475,13.4615578422017,2,56,46445.2717024053,0,46445.2717024053,46446.7332602475,NaN,NaN,1.46155784220173,NaN,NaN
117,46444.5814423183,46458.0499800547,13.4685377364003,2,57,46450.5814423183,0,46450.5814423183,46452.0499800547,NaN,NaN,1.46853773640032,NaN,NaN
118,46449.7463544114,46463.175302748,13.428948336601,2,58,46455.7463544114,0,46455.7463544114,46457.175302748,NaN,NaN,1.42894833660102,NaN,NaN
119,46454.830727714,46468.3120252569,13.4812975429013,2,59,46460.830727714,0,46460.830727714,46462.3120252569,NaN,NaN,1.4812975429013,NaN,NaN
120,46460.0135395357,46473.3266496284,13.3131100926985,2,60,46466.0135395357,0,46466.0135395357,46467.3266496284,NaN,NaN,1.31311009269848,NaN,NaN
121,46465.3397091997,46478.77236748,13.4326582802969,2,61,46471.3397091997,0,46471.3397091997,46472.77236748,NaN,NaN,1.43265828029689,NaN,NaN
122,46470.834076302,46484.2333850879,13.399308785898,2,62,46476.834076302,0,46476.834076302,46478.2333850879,NaN,NaN,1.39930878589803,NaN,NaN
123,46476.184055605,46489.5925042523,13.4084486473002,2,63,46482.184055605,0,46482.184055605,46483.5925042523,NaN,NaN,1.40844864730025,NaN,NaN
124,46481.7138921695,46495.1820199121,13.4681277425989,2,64,46487.7138921695,0,46487.7138921695,46489.1820199121,NaN,NaN,1.46812774259888,NaN,NaN
125,46486.79120561,46500.22784383,13.4366382199951,2,65,46492.79120561,0,46492.79120561,46494.22784383,NaN,NaN,1.43663821999507,NaN,NaN
126,46492.4408003823,46505.8290593357,13.3882589534041,2,66,46498.4408003823,0,46498.4408003823,46499.8290593357,NaN,NaN,1.38825895340415,NaN,NaN
127,46497.8419589171,46511.4599743873,13.6180154701942,2,67,46503.8419589171,0,46503.8419589171,46505.4599743873,NaN,NaN,1.61801547019422,NaN,NaN
128,46505.0440002816,46518.4246693501,13.3806690684942,2,68,46511.0440002816,0,46511.0440002816,46512.4246693501,NaN,NaN,1.38066906849417,NaN,NaN
129,46510.0042554618,46523.433693791,13.4294383291999,2,69,46516.0042554618,0,46516.0042554618,46517.433693791,NaN,NaN,1.42943832919991,NaN,NaN
130,46515.3592246698,46528.7046142731,13.3453896032952,2,70,46521.3592246698,0,46521.3592246698,46522.7046142731,NaN,NaN,1.34538960329519,NaN,NaN
131,46520.3532693379,46533.7679378909,13.4146685529995,2,71,46526.3532693379,0,46526.3532693379,46527.7679378909,NaN,NaN,1.4146685529995,NaN,NaN
132,46525.3711936593,46538.6967635632,13.3255699039,2,72,46531.3711936593,0,46531.3711936593,46532.6967635632,NaN,NaN,1.32556990390003,NaN,NaN
133,46530.5024562433,46543.9681840222,13.4657277788938,2,73,46536.5024562433,0,46536.5024562433,46537.9681840222,NaN,NaN,1.46572777889378,NaN,NaN
134,46535.8349058197,46549.3387030215,13.5037972018035,2,74,46541.8349058197,0,46541.8349058197,46543.3387030215,NaN,NaN,1.50379720180354,NaN,NaN
135,46540.8354003822,46554.4860253581,13.6506249758968,2,75,46546.8354003822,0,46546.8354003822,46548.4860253581,NaN,NaN,1.65062497589679,NaN,NaN
136,46546.0999009733,46559.6835469646,13.5836459913044,2,76,46552.0999009733,0,46552.0999009733,46553.6835469646,NaN,NaN,1.58364599130437,NaN,NaN
137,46551.4620300843,46564.872368703,13.410338618698,2,77,46557.4620300843,0,46557.4620300843,46558.872368703,NaN,NaN,1.41033861869801,NaN,NaN
138,46556.4036755506,46569.6922960146,13.2886204639944,2,78,46562.4036755506,0,46562.4036755506,46563.6922960146,NaN,NaN,1.28862046399445,NaN,NaN
139,46561.3982802024,46574.9170171777,13.5187369753039,2,79,46567.3982802024,0,46567.3982802024,46568.9170171777,NaN,NaN,1.51873697530391,NaN,NaN
140,46566.4175244962,46579.8523427437,13.4348182475005,2,80,46572.4175244962,0,46572.4175244962,46573.8523427437,NaN,NaN,1.43481824750052,NaN,NaN
141,46571.6311958501,46585.1128633874,13.4816675373004,2,81,46577.6311958501,0,46577.6311958501,46579.1128633874,NaN,NaN,1.48166753730038,NaN,NaN
142,46576.9122761821,46590.2017866325,13.2895104503987,2,82,46582.9122761821,0,46582.9122761821,46584.2017866325,NaN,NaN,1.28951045039867,NaN,NaN
143,46581.8801112436,46595.168311714,13.2882004704006,2,83,46587.8801112436,0,46587.8801112436,46589.168311714,NaN,NaN,1.28820047040062,NaN,NaN
144,46587.3482587512,46600.7028282154,13.3545694642016,2,84,46593.3482587512,0,46593.3482587512,46594.7028282154,NaN,NaN,1.35456946420163,NaN,NaN
145,46592.5841297685,46606.0016482784,13.4175185099011,2,85,46598.5841297685,0,46598.5841297685,46600.0016482784,NaN,NaN,1.41751850990113,NaN,NaN
146,46597.5696245857,46610.9759732648,13.4063486790983,2,86,46603.5696245857,0,46603.5696245857,46604.9759732648,NaN,NaN,1.4063486790983,NaN,NaN
147,46602.8580148067,46616.3475922241,13.4895774174001,2,87,46608.8580148067,0,46608.8580148067,46610.3475922241,NaN,NaN,1.48957741740014,NaN,NaN
148,46608.4004411922,46621.7641105184,13.3636693262015,2,88,46614.4004411922,0,46614.4004411922,46615.7641105184,NaN,NaN,1.36366932620149,NaN,NaN
149,46613.8915883472,46627.1996285167,13.308040169497,2,89,46619.8915883472,0,46619.8915883472,46621.1996285167,NaN,NaN,1.30804016949696,NaN,NaN
150,46618.8623133881,46632.246452404,13.3841390158996,2,90,46624.8623133881,0,46624.8623133881,46626.246452404,NaN,NaN,1.38413901589956,NaN,NaN
